,symbol,category,strike,ask,bid,due_date,ativo_alvo,volume,type,close,Dif.Book,p.strike,tmoney,Max_dif_book,VI_bid,VI_ask,days_to_maturity,delta_bid,delta_ask,in/on
682,CPLED100,CALL,10.0,0.53,0.5,2024-04-19,CPLE6,0.0,CALL,10.23,0.030000000000000027,2.2482893450635424,ATM,0.1023,16.722901433201404,19.031237318893506,37,99.93364419516978,99.98696735514544,ITM
683,CPLEP100,PUT,10.0,0.17,0.14,2024-04-19,CPLE6,0.0,PUT,10.23,0.03,2.2482893450635424,ATM,0.1023,19.31890993116967,21.539929046172396,37,-0.010503262567718163,-0.0018014690421064294,ITM
684,CPLEP102,PUT,10.25,0.28,0.23,2024-04-19,CPLE6,0.0,PUT,10.23,0.05000000000000002,0.19550342130986875,ATM,0.1023,19.208236121893822,22.485842721444964,37,-0.011567582835680934,-0.0008172670179273922,OTM
685,CPLED105,CALL,10.5,0.26,0.23,2024-04-19,CPLE6,0.0,CALL,10.23,0.03,2.63929618768328,ATM,0.1023,17.583218057209304,19.510995523713532,37,99.96205098792589,99.99068178640479,OTM
686,CPLEP105,PUT,10.5,0.39,0.37,2024-04-19,CPLE6,0.0,PUT,10.23,0.020000000000000018,2.63929618768328,ATM,0.1023,20.282085533398924,21.56499357494535,37,-0.005124965091685141,-0.0018101734851283524,OTM
687,BBDCO119,PUT,11.95,0.05,0.04,2024-03-15,BBDC3,1600.0,PUT,12.54,0.010000000000000002,4.704944178628388,ATM,0.12539999999999998,22.174490720603565,23.837617451217604,12,-0.7538965601345704,-0.45113649955518254,ITM
688,BBDCC124,CALL,12.45,0.31,0.29,2024-03-15,BBDC3,12600.0,CALL,12.54,0.020000000000000018,0.7177033492822955,ATM,0.12539999999999998,18.637276117460978,20.56271082739085,12,97.91540175178127,98.76599945546248,ITM
689,BBDCO124,PUT,12.45,0.18,0.15,2024-03-15,BBDC3,0.0,PUT,12.54,0.03,0.7177033492822955,ATM,0.12539999999999998,20.228632504931657,23.094585994748506,12,-1.3553618840531079,-0.5829210403596408,ITM
690,BBDCC129,CALL,12.95,0.11,0.09,2024-03-15,BBDC3,3200.0,CALL,12.54,0.020000000000000004,3.2695374800637973,ATM,0.12539999999999998,19.849762166078023,21.999018968632107,12,98.45980205874362,99.16831050477663,OTM
691,BBDCO129,PUT,12.95,0.47,0.44,2024-03-15,BBDC3,0.0,PUT,12.54,0.02999999999999997,3.2695374800637973,ATM,0.12539999999999998,20.8467996345943,24.000589685534806,12,-1.164396395347722,-0.44802298537284235,OTM
692,BBDCP119,PUT,11.97,0.15,0.12,2024-04-19,BBDC3,0.0,PUT,12.54,0.03,4.545454545454533,ATM,0.12539999999999998,20.930063649952924,23.069263305797914,37,-0.002936823055932347,-0.00047787743012728257,ITM
693,BBDCD130,CALL,12.47,0.53,0.51,2024-04-19,BBDC3,100.0,CALL,12.54,0.020000000000000018,0.5582137161084411,ATM,0.12539999999999998,18.790923525852996,19.894675182008335,37,99.98428418614989,99.99317711505448,ITM
694,BBDCP130,PUT,12.47,0.3,0.27,2024-04-19,BBDC3,0.0,PUT,12.54,0.02999999999999997,0.5582137161084411,ATM,0.12539999999999998,20.679929109766995,22.321855437034625,37,-0.0036722888695051026,-0.0009377982366109983,ITM
695,BBDCD137,CALL,12.97,0.29,0.27,2024-04-19,BBDC3,0.0,CALL,12.54,0.019999999999999962,3.4290271132376517,ATM,0.12539999999999998,19.06759097281347,20.13023861090862,37,99.98692810504265,99.99420175082206,OTM
696,BBDCP137,PUT,12.97,0.55,0.52,2024-04-19,BBDC3,0.0,PUT,12.54,0.030000000000000027,3.4290271132376517,ATM,0.12539999999999998,20.791769445135746,22.378673921406318,37,-0.0034267391953557436,-0.000911633151245983,OTM
697,BEEFC660,CALL,6.6,0.44,0.4,2024-03-15,BEEF3,205500.0,CALL,6.92,0.03999999999999998,4.624277456647403,ATM,0.0692,28.117165821460883,37.12812193928549,12,99.89525013311012,99.99752012019486,ITM
698,BEEFO660,PUT,6.6,0.09,0.06,2024-03-15,BEEF3,0.0,PUT,6.92,0.03,4.624277456647403,ATM,0.0692,31.725280443754837,38.230519207849554,12,-0.026107857958390657,-0.0014729474949071175,ITM
699,BEEFC680,CALL,6.8,0.29,0.28,2024-03-15,BEEF3,2400.0,CALL,6.92,0.009999999999999953,1.7341040462427761,ATM,0.0692,32.206474074771585,33.97291495653098,12,99.97819914715642,99.98963012473807,ITM
700,BEEFO680,PUT,6.8,0.16,0.12,2024-03-15,BEEF3,55100.0,PUT,6.92,0.04000000000000001,1.7341040462427761,ATM,0.0692,31.55593460619911,38.58638135934075,12,-0.028410372422671415,-0.0012609370435234801,ITM
701,BEEFC700,CALL,7.0,0.18,0.17,2024-03-15,BEEF3,9700.0,CALL,6.92,0.009999999999999981,1.1560693641618507,ATM,0.0692,31.53829265978208,33.20044977269825,12,99.97093771947902,99.98536174287463,OTM
702,BEEFO700,PUT,7.0,0.26,0.22,2024-03-15,BEEF3,0.0,PUT,6.92,0.04000000000000001,1.1560693641618507,ATM,0.0692,32.76829548084703,39.41319419916451,12,-0.017547849598609222,-0.0008554620035239324,OTM
703,BEEFC720,CALL,7.2,0.1,0.09,2024-03-15,BEEF3,0.0,CALL,6.92,0.010000000000000009,4.046242774566478,ATM,0.0692,30.419329110155797,32.2710293761461,12,99.95398998235082,99.97811030207595,OTM
704,BEEFD655,CALL,6.55,0.64,0.62,2024-04-19,BEEF3,5000.0,CALL,6.92,0.020000000000000018,5.346820809248556,ATM,0.0692,32.09928747339182,34.39766711146227,37,99.9999999626223,99.99999999788284,ITM
705,BEEFP655,PUT,6.55,0.18,0.14,2024-04-19,BEEF3,0.0,PUT,6.92,0.03999999999999998,5.346820809248556,ATM,0.0692,31.785392143898157,36.350388738975795,37,-5.451392670607902e-08,-1.5907275496829243e-10,ITM
706,BEEFD675,CALL,6.75,0.52,0.48,2024-04-19,BEEF3,0.0,CALL,6.92,0.040000000000000036,2.4566473988439297,ATM,0.0692,30.932870391154676,35.01502387644669,37,99.9999998484313,99.99999999903734,ITM
707,BEEFP675,PUT,6.75,0.25,0.21,2024-04-19,BEEF3,0.0,PUT,6.92,0.04000000000000001,2.4566473988439297,ATM,0.0692,32.017844426288704,36.08680556464986,37,-4.187795665799854e-08,-2.309374913522788e-10,ITM
708,BEEFD695,CALL,6.95,0.41,0.37,2024-04-19,BEEF3,0.0,CALL,6.92,0.03999999999999998,0.43352601156069726,ATM,0.0692,31.058434681879277,34.88833150493577,37,99.99999986713513,99.99999999884642,OTM
709,BEEFP695,PUT,6.95,0.34,0.3,2024-04-19,BEEF3,0.0,PUT,6.92,0.040000000000000036,0.43352601156069726,ATM,0.0692,32.385408250930716,36.214571023322634,37,-2.7232038846136675e-08,-1.971756091734278e-10,OTM
710,BEEFD715,CALL,7.15,0.3,0.28,2024-04-19,BEEF3,3000.0,CALL,6.92,0.019999999999999962,3.323699421965324,ATM,0.0692,31.281518124655594,33.176732461964676,37,99.99999989626343,99.99999998958035,OTM
711,PETZO389,PUT,3.89,0.13,0.09,2024-03-15,PETZ3,0.0,PUT,4.09,0.04000000000000001,4.889975550122243,ATM,0.0409,51.75589304641763,64.5054207232816,12,-7.932147605416162e-07,-9.47131262307721e-11,ITM
712,PETZC399,CALL,3.99,0.28,0.24,2024-03-15,PETZ3,0.0,CALL,4.09,0.040000000000000036,2.444987775061116,ATM,0.0409,49.23188595233701,61.02482247310296,12,99.99999615898774,99.99999999863658,ITM
713,PETZO399,PUT,3.99,0.17,0.14,2024-03-15,PETZ3,5200.0,PUT,4.09,0.03,2.444987775061116,ATM,0.0409,55.535490787319475,64.33861084727587,12,-6.725997536705108e-08,-1.0931255900459291e-10,ITM
714,PETZC409,CALL,4.09,0.22,0.19,2024-03-15,PETZ3,25500.0,CALL,4.09,0.03,0.0,ATM,0.0409,50.393527209751184,58.86531401928049,12,99.99999808885501,99.99999999332583,ITM
715,PETZO409,PUT,4.09,0.21,0.17,2024-03-15,PETZ3,0.0,PUT,4.09,0.03999999999999998,0.0,ATM,0.0409,50.91650624979158,62.212971208457134,12,-1.3806999765719752e-06,-5.669686942155749e-10,ITM
716,PETZC419,CALL,4.19,0.18,0.14,2024-03-15,PETZ3,0.0,CALL,4.09,0.03999999999999998,2.4449877750611377,ATM,0.0409,49.01548340162105,60.30513950354701,12,99.99999551074171,99.99999999762234,OTM
