,symbol,category,days_to_maturity,strike,close,ask,bid,moneyness,volatility,Preco_ativo,Volatilidade Implicita
294,PETRC474,CALL,16,47.51,0.03,0.04,0.02,ATM,27.904,38.62,25.812212531446228
295,PETRC479,CALL,16,48.01,0.02,0.03,0.02,ATM,27.388,38.62,25.7930016332093
296,PETRC484,CALL,16,48.51,0.02,0.03,0.01,ATM,28.414,38.62,26.89885200136011
297,PETRC490,CALL,16,49.01,0.02,0.02,0.01,ATM,29.422,38.62,26.421844131938215
302,PETRD369,CALL,16,13.51,24.93,28.16,0.0,ATM,143.224,38.62,255.56954961487537
304,PETRP45,CALL,16,24.51,0.04,0.05,0.02,ATM,38.3,38.62,47.86912918676117
306,PETRP355,CALL,16,25.26,0.02,0.1,0.01,ATM,45.945,38.62,50.66023136590566
312,PETRP331,CALL,16,32.01,0.21,0.41,0.15,ATM,32.687,38.62,38.64910475038167
313,PETRP329,CALL,16,32.51,0.16,0.48,0.15,ATM,23.305,38.62,38.48776093084293
314,PETRP321,CALL,16,32.76,0.22,0.89,0.15,ATM,26.748,38.62,46.835708073973606
315,PETRD336,CALL,16,33.01,6.0,6.92,6.34,ATM,40.028,38.62,34.29514991811774
316,PETRP336,CALL,16,33.01,0.33,0.28,0.02,ATM,26.56,38.62,30.8557155361453
317,PETRD341,CALL,16,33.26,5.66,6.71,6.33,ATM,37.094,38.62,34.153163595304896
318,PETRP341,CALL,16,33.26,0.29,0.51,0.25,ATM,26.066,38.62,36.087915513004546
319,PETRP349,CALL,16,33.76,0.36,0.59,0.1,ATM,24.29,38.62,35.8087964944794
320,PETRP351,CALL,16,34.01,0.35,0.46,0.3,ATM,25.461,38.62,31.762628297160706
321,PETRP550,CALL,16,34.51,0.43,0.76,0.43,ATM,24.701,38.62,36.02581963272593
322,PETRD359,CALL,16,34.76,4.47,5.74,5.02,ATM,34.737,38.62,37.929580046348896
323,PETRP359,CALL,16,34.76,0.6,0.77,0.4,ATM,24.895,38.62,35.0762700799287
324,PETRD361,CALL,16,35.01,4.32,5.21,4.78,ATM,34.971,38.62,31.283928527379846
325,PETRP361,CALL,16,35.01,0.55,0.7,0.42,ATM,23.93,38.62,32.58290212849059
327,PETRP364,CALL,16,35.26,0.55,0.65,0.46,ATM,23.811,38.62,30.49191380828861
328,PETRP366,CALL,16,35.51,0.59,0.85,0.48,ATM,23.949,38.62,33.07952059150425
329,PETRP368,CALL,16,35.76,0.7,0.68,0.64,ATM,23.836,38.62,28.82730325066033
330,PETRD371,CALL,16,36.01,4.25,4.41,4.08,ATM,33.23,38.62,29.957534906783735
331,PETRP371,CALL,16,36.01,0.69,0.84,0.7,ATM,23.343,38.62,30.54169054881805
332,PETRD374,CALL,16,36.26,3.84,4.06,3.9,ATM,32.044,38.62,26.9144354844482
333,PETRP374,CALL,16,36.26,0.73,0.79,0.74,ATM,23.097,38.62,28.496258539220943
334,PETRD376,CALL,16,36.51,3.16,4.17,3.46,ATM,31.401,38.62,31.659198849327417
335,PETRP376,CALL,16,36.51,0.83,0.93,0.69,ATM,22.782,38.62,29.658486877467393
336,PETRP363,CALL,16,36.76,0.92,0.91,0.87,ATM,22.401,38.62,28.1075370602622
337,PETRD381,CALL,16,37.01,3.46,3.74,3.33,ATM,36.327,38.62,30.005874077103588
338,PETRP381,CALL,16,37.01,0.9,1.2,0.94,ATM,22.234,38.62,31.411574064186844
339,PETRD384,CALL,16,37.26,3.13,3.34,3.19,ATM,34.542,38.62,26.29397915454644
340,PETRP384,CALL,16,37.26,1.07,1.05,1.01,ATM,21.854,38.62,27.80930442606126
341,PETRD386,CALL,16,37.51,2.95,3.16,2.91,ATM,35.847,38.62,25.990386439909397
342,PETRD389,CALL,16,37.76,2.8,3.01,2.86,ATM,35.603,38.62,26.076275034398726
343,PETRP389,CALL,16,37.76,1.2,1.21,1.17,ATM,21.147,38.62,27.574698215837458
344,PETRD379,CALL,16,38.01,2.85,3.36,2.58,ATM,30.089,38.62,33.23093653250071
345,PETRP379,CALL,16,38.01,1.29,1.43,1.27,ATM,21.079,38.62,29.37389913126815
346,PETRD394,CALL,16,38.26,2.58,2.66,2.54,ATM,34.173,38.62,25.323346260109204
347,PETRP394,CALL,16,38.26,1.35,1.38,1.34,ATM,20.662,38.62,27.243734740128684
348,PETRD396,CALL,16,38.51,2.24,3.23,2.28,ATM,32.054,38.62,35.18808996632126
349,PETRP396,CALL,16,38.51,1.52,1.88,1.03,ATM,17.082,38.62,32.73916276190837
350,PETRP399,CALL,16,38.76,1.63,2.08,1.31,ATM,18.221,38.62,33.93369677920036
351,PETRD391,CALL,16,39.01,2.11,2.68,2.1,ATM,28.849,38.62,31.177273972944768
352,PETRP391,CALL,16,39.01,1.65,2.09,1.52,ATM,19.152,38.62,32.48132678657092
353,PETRD404,CALL,16,39.26,2.06,2.12,1.54,ATM,28.693,38.62,25.303708939180847
354,PETRP404,CALL,16,39.26,2.12,2.09,1.31,ATM,19.05,38.62,30.86360190814153
355,PETRP497,CALL,16,39.51,1.96,2.39,1.41,ATM,15.242,38.62,33.22636594053214
357,PETRD401,CALL,16,40.01,1.75,2.61,1.31,ATM,28.135,38.62,36.50218126914028
358,PETRP401,CALL,16,40.01,2.0,2.65,1.61,ATM,13.181,38.62,33.22468207440788
360,PETRD409,CALL,16,40.51,1.52,1.59,0.82,ATM,28.544,38.62,25.724268000084372
362,PETRD416,CALL,16,41.01,1.2,1.5,1.0,ATM,30.659,38.62,27.097248446839156
363,PETRP416,CALL,16,41.01,2.7,3.38,2.11,ATM,5.314,38.62,35.44075266649655
